2024-04-19 02:24:22 | ERROR | stderr | Traceback (most recent call last):
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/runpy.py", line 197, in _run_module_as_main
2024-04-19 02:24:22 | ERROR | stderr |     return _run_code(code, main_globals, None,
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/runpy.py", line 87, in _run_code
2024-04-19 02:24:22 | ERROR | stderr |     exec(code, run_globals)
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/fastchat/serve/vllm_worker.py", line 290, in <module>
2024-04-19 02:24:22 | ERROR | stderr |     engine = AsyncLLMEngine.from_engine_args(engine_args)
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/engine/async_llm_engine.py", line 348, in from_engine_args
2024-04-19 02:24:22 | ERROR | stderr |     engine = cls(
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/engine/async_llm_engine.py", line 311, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self.engine = self._init_engine(*args, **kwargs)
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/engine/async_llm_engine.py", line 422, in _init_engine
2024-04-19 02:24:22 | ERROR | stderr |     return engine_class(*args, **kwargs)
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/engine/llm_engine.py", line 110, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self.model_executor = executor_class(model_config, cache_config,
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/executor/gpu_executor.py", line 37, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self._init_worker()
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/executor/gpu_executor.py", line 66, in _init_worker
2024-04-19 02:24:22 | ERROR | stderr |     self.driver_worker.load_model()
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/worker/worker.py", line 107, in load_model
2024-04-19 02:24:22 | ERROR | stderr |     self.model_runner.load_model()
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/worker/model_runner.py", line 95, in load_model
2024-04-19 02:24:22 | ERROR | stderr |     self.model = get_model(
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/model_loader.py", line 81, in get_model
2024-04-19 02:24:22 | ERROR | stderr |     model = model_class(model_config.hf_config, linear_method,
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/models/llama.py", line 319, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self.model = LlamaModel(config, linear_method, lora_config=lora_config)
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/models/llama.py", line 247, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self.layers = nn.ModuleList([
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/models/llama.py", line 248, in <listcomp>
2024-04-19 02:24:22 | ERROR | stderr |     LlamaDecoderLayer(config, linear_method)
